,beam,OSL Margin,OSL weight,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,750,0.0001,0.8,9361,39.426,0.0,3.94,1.979,12.097,0.305,14586.323,0.432,0.996,1.098,1.098,1.053,6985.542,1.012,-0.013,-20.053
2,750,0.0001,0.1,2804,39.066,0.0,3.96,1.984,12.144,0.396,17783.619,0.288,0.958,1.158,1.158,1.053,2923.689,1.009,-0.013,-14.754
3,750,0.0001,0.3,2421,39.603,0.0,4.09,2.033,12.237,0.385,17998.437,0.304,0.979,1.114,1.114,1.05,4048.252,1.015,-0.017,-15.63
4,750,0.0001,0.5,2804,39.289,0.0,3.96,1.984,12.016,0.371,16925.876,0.317,0.973,1.118,1.118,1.053,4800.453,1.01,-0.014,-16.14
5,750,0.0001,0.8,2421,39.722,0.0,4.1,2.036,12.144,0.298,14851.342,0.44,0.999,1.092,1.092,1.053,7067.749,1.028,-0.019,-21.194
6,750,0.0001,0.8500000000000001,2421,39.854,0.0,4.1,2.037,12.19,0.257,13247.63,0.509,1.0,1.088,1.088,1.05,7224.712,1.045,-0.022,-24.43
7,750,0.0001,0.1,6765,39.176,0.0,3.98,1.991,12.132,0.396,17806.293,0.281,0.956,1.122,1.122,1.053,3157.463,1.017,-0.012,-14.811
8,750,0.0001,0.05,9361,38.976,0.0,3.94,1.978,12.33,0.401,17914.299,0.295,0.965,1.182,1.182,1.056,2309.044,1.008,-0.012,-14.325
9,750,0.0001,0.6000000000000001,2804,39.331,0.0,3.96,1.984,12.004,0.357,16461.38,0.334,0.98,1.114,1.114,1.053,5601.526,1.011,-0.014,-16.916
10,750,0.0001,0.95,9361,39.554,0.0,3.96,1.984,12.202,0.1,5951.73,0.816,1.0,1.092,1.092,1.059,7342.726,2.12,-0.018,-43.39
11,750,0.0001,0.5,9361,39.239,0.0,3.94,1.978,12.155,0.378,17134.391,0.328,0.977,1.114,1.114,1.056,4193.182,1.008,-0.012,-15.564
12,750,0.0001,1.0,2804,37.909,0.0,4.88,2.286,12.004,0.014,1667.338,0.963,1.0,1.027,1.027,1.0,7366.666,262.287,-1.615,-89.843
13,750,0.0001,0.05,6765,39.142,0.0,3.98,1.991,12.109,0.398,17855.927,0.28,0.955,1.122,1.122,1.053,3047.167,1.018,-0.012,-14.734
14,750,0.0001,0.3,9361,39.198,0.0,3.94,1.978,12.225,0.391,17600.715,0.309,0.97,1.125,1.125,1.056,3026.273,1.008,-0.012,-14.816
15,750,0.0001,0.0,4872,39.006,0.0,3.97,1.988,12.644,0.399,17989.013,0.29,0.963,1.239,1.239,1.05,2845.874,1.009,-0.013,-14.596
16,750,0.0001,0.35,4872,39.435,0.0,3.97,1.988,12.272,0.385,17540.232,0.308,0.97,1.128,1.128,1.05,3851.586,1.009,-0.013,-15.304
17,750,0.0001,0.05,2421,39.501,0.0,4.09,2.033,12.342,0.395,18344.282,0.291,0.974,1.153,1.153,1.05,3279.557,1.014,-0.017,-15.088
18,750,0.0001,0.6000000000000001,4872,39.558,0.0,3.97,1.988,12.19,0.363,16783.72,0.34,0.981,1.097,1.097,1.05,5440.132,1.01,-0.013,-16.535
19,750,0.0001,0.9,4872,39.776,0.0,3.98,1.992,12.155,0.206,10960.885,0.616,1.0,1.088,1.088,1.05,7318.601,1.043,-0.017,-28.333
20,750,0.0001,0.55,2421,39.704,0.0,4.09,2.033,12.202,0.366,17300.672,0.331,0.988,1.1,1.1,1.05,5431.143,1.018,-0.018,-16.762
21,750,0.0001,0.1,4872,39.151,0.0,3.97,1.988,12.504,0.396,17895.438,0.294,0.965,1.198,1.198,1.05,3047.5,1.009,-0.013,-14.742
22,750,0.0001,0.95,6765,39.563,0.0,3.99,1.996,12.167,0.107,6293.342,0.783,1.0,1.084,1.084,1.053,7340.16,3.595,-0.018,-42.133
23,750,0.0001,0.35,9361,39.182,0.0,3.94,1.978,12.225,0.389,17510.326,0.312,0.972,1.125,1.125,1.056,3249.322,1.007,-0.012,-14.96
24,750,0.0001,0.8500000000000001,6765,39.583,0.0,3.98,1.992,12.109,0.256,12829.626,0.488,0.999,1.086,1.086,1.053,7248.769,1.153,-0.015,-23.883
25,750,0.0001,0.75,2804,39.292,0.0,3.96,1.985,12.016,0.313,14896.621,0.404,0.993,1.095,1.095,1.056,6874.385,1.014,-0.014,-19.712
26,750,0.0001,0.65,4872,39.565,0.0,3.97,1.988,12.167,0.356,16518.104,0.351,0.985,1.095,1.095,1.05,5866.519,1.01,-0.013,-16.978
27,750,0.0001,0.45,4872,39.51,0.0,3.97,1.988,12.225,0.379,17312.954,0.318,0.973,1.106,1.106,1.05,4363.76,1.01,-0.013,-15.669
28,750,0.0001,0.05,4872,39.036,0.0,3.97,1.988,12.609,0.397,17946.145,0.292,0.964,1.229,1.229,1.05,2938.37,1.009,-0.013,-14.664
29,750,0.0001,1.0,6765,36.857,0.0,5.57,2.477,12.202,0.014,1580.384,0.966,1.0,0.956,0.956,1.0,7366.972,1361.521,-5.424,-89.736
30,750,0.0001,0.25,2421,39.593,0.0,4.09,2.033,12.248,0.388,18085.14,0.301,0.978,1.12,1.12,1.05,3854.704,1.015,-0.017,-15.492
31,750,0.0001,0.8500000000000001,2804,39.438,0.0,3.96,1.985,11.993,0.243,12310.856,0.524,0.999,1.091,1.091,1.056,7261.306,1.311,-0.015,-24.953
32,750,0.0001,0.8,2804,39.459,0.0,3.96,1.985,11.993,0.297,14326.217,0.431,0.996,1.09,1.09,1.053,7074.142,1.025,-0.015,-20.766
33,750,0.0001,0.55,6765,39.327,0.0,3.98,1.992,12.039,0.371,16919.295,0.314,0.971,1.097,1.097,1.053,5084.172,1.022,-0.013,-16.235
34,750,0.0001,0.75,4872,39.643,0.0,3.97,1.988,12.179,0.332,15717.181,0.385,0.993,1.092,1.092,1.049,6654.979,1.012,-0.014,-18.359
35,750,0.0001,0.0,2804,38.948,0.0,3.96,1.984,12.248,0.399,17893.024,0.285,0.956,1.188,1.188,1.053,2689.098,1.009,-0.013,-14.581
36,750,0.0001,0.0,2421,39.449,0.0,4.09,2.033,12.353,0.397,18394.032,0.289,0.974,1.157,1.157,1.05,3170.052,1.014,-0.017,-15.009
37,750,0.0001,0.7000000000000001,2804,39.27,0.0,3.96,1.984,12.039,0.33,15513.272,0.376,0.989,1.1,1.1,1.056,6546.736,1.012,-0.014,-18.586
38,750,0.0001,0.2,9361,39.124,0.0,3.94,1.978,12.248,0.396,17748.526,0.303,0.968,1.139,1.139,1.056,2672.742,1.008,-0.012,-14.582
39,750,0.0001,0.1,9361,39.025,0.0,3.94,1.978,12.295,0.399,17863.024,0.297,0.966,1.169,1.169,1.056,2416.467,1.008,-0.012,-14.403
40,750,0.0001,0.75,6765,39.38,0.0,3.98,1.992,12.016,0.333,15632.349,0.367,0.988,1.088,1.088,1.053,6707.109,1.034,-0.014,-18.424
41,750,0.0001,0.25,2804,39.174,0.0,3.96,1.984,12.097,0.39,17565.465,0.296,0.961,1.133,1.133,1.053,3412.169,1.009,-0.013,-15.101
42,750,0.0001,0.55,4872,39.564,0.0,3.97,1.988,12.179,0.369,16995.993,0.331,0.978,1.097,1.097,1.05,5035.699,1.009,-0.013,-16.184
43,750,0.0001,0.65,9361,39.339,0.0,3.94,1.978,12.132,0.358,16463.997,0.353,0.985,1.109,1.109,1.056,5579.312,1.009,-0.013,-16.672
44,750,0.0001,0.45,2804,39.259,0.0,3.96,1.984,12.051,0.376,17097.106,0.312,0.969,1.122,1.122,1.053,4452.917,1.01,-0.013,-15.857
45,750,0.0001,0.4,4872,39.46,0.0,3.97,1.988,12.248,0.382,17435.483,0.313,0.972,1.12,1.12,1.05,4086.783,1.009,-0.013,-15.47
46,750,0.0001,0.8,4872,39.662,0.0,3.97,1.988,12.179,0.313,15059.943,0.422,0.996,1.091,1.091,1.049,6961.946,1.013,-0.014,-19.537
47,750,0.0001,0.9,2804,39.434,0.0,3.96,1.986,12.027,0.187,10068.082,0.629,1.0,1.091,1.091,1.056,7320.742,1.841,-0.017,-30.299
48,750,0.0001,0.3,6765,39.194,0.0,3.98,1.991,12.097,0.389,17546.973,0.29,0.96,1.114,1.114,1.053,3753.685,1.019,-0.012,-15.224
49,750,0.0001,1.0,9361,38.562,0.0,4.76,2.252,12.074,0.016,1762.924,0.961,1.0,1.015,1.015,1.0,7366.225,320.103,-1.794,-85.111
50,750,0.0001,0.5,6765,39.291,0.0,3.98,1.992,12.062,0.376,17090.943,0.306,0.968,1.109,1.109,1.053,4747.234,1.02,-0.013,-15.955
51,750,0.0001,0.25,6765,39.188,0.0,3.98,1.991,12.097,0.391,17624.195,0.287,0.959,1.116,1.116,1.053,3572.505,1.018,-0.012,-15.098
52,750,0.0001,0.55,2804,39.292,0.0,3.96,1.984,12.051,0.365,16717.034,0.325,0.975,1.118,1.118,1.053,5184.434,1.011,-0.014,-16.485
53,750,0.0001,0.2,2421,39.59,0.0,4.09,2.033,12.248,0.39,18160.744,0.298,0.977,1.125,1.125,1.05,3686.646,1.015,-0.017,-15.374
54,750,0.0001,0.4,2421,39.607,0.0,4.09,2.033,12.225,0.379,17786.442,0.311,0.982,1.114,1.114,1.05,4510.289,1.016,-0.017,-15.97
55,750,0.0001,0.35,6765,39.219,0.0,3.98,1.992,12.097,0.386,17458.674,0.293,0.962,1.114,1.114,1.053,3954.681,1.019,-0.013,-15.364
56,750,0.0001,0.6000000000000001,6765,39.389,0.0,3.98,1.992,12.027,0.365,16708.386,0.322,0.974,1.094,1.094,1.053,5463.171,1.023,-0.013,-16.583
57,750,0.0001,0.7000000000000001,4872,39.573,0.0,3.97,1.988,12.179,0.345,16175.27,0.367,0.988,1.095,1.095,1.05,6282.169,1.011,-0.013,-17.56
58,750,0.0001,0.2,2804,39.162,0.0,3.96,1.984,12.109,0.392,17647.345,0.293,0.961,1.135,1.135,1.053,3225.065,1.009,-0.013,-14.969
59,750,0.0001,0.3,4872,39.386,0.0,3.97,1.988,12.318,0.388,17630.108,0.305,0.969,1.146,1.146,1.05,3644.518,1.009,-0.013,-15.159
60,750,0.0001,0.5,2421,39.659,0.0,4.09,2.033,12.214,0.371,17493.375,0.323,0.986,1.105,1.105,1.05,5092.528,1.017,-0.018,-16.445
61,750,0.0001,0.6000000000000001,2421,39.76,0.0,4.09,2.033,12.19,0.359,17065.242,0.34,0.989,1.097,1.097,1.05,5785.329,1.019,-0.018,-17.15
62,750,0.0001,0.7000000000000001,9361,39.349,0.0,3.94,1.978,12.144,0.348,16105.386,0.369,0.988,1.104,1.104,1.056,6090.056,1.01,-0.013,-17.284
63,750,0.0001,0.5,4872,39.569,0.0,3.97,1.988,12.214,0.375,17167.061,0.324,0.975,1.1,1.1,1.05,4678.781,1.01,-0.013,-15.903
64,750,0.0001,0.15,2421,39.588,0.0,4.09,2.033,12.26,0.392,18230.207,0.295,0.976,1.128,1.128,1.05,3531.359,1.015,-0.017,-15.265
65,750,0.0001,0.95,2421,39.904,0.0,4.11,2.039,12.214,0.132,7761.637,0.756,1.0,1.087,1.087,1.05,7339.734,3.1,-0.027,-38.66
66,750,0.0001,0.4,6765,39.249,0.0,3.98,1.991,12.074,0.383,17355.301,0.296,0.964,1.112,1.112,1.053,4182.865,1.019,-0.013,-15.527
67,750,0.0001,0.9,2421,39.919,0.0,4.11,2.038,12.19,0.205,11153.362,0.613,1.0,1.087,1.087,1.05,7301.478,1.112,-0.024,-29.204
68,750,0.0001,0.75,9361,39.358,0.0,3.94,1.979,12.109,0.326,15361.578,0.397,0.993,1.1,1.1,1.054,6665.47,1.01,-0.013,-18.627
69,750,0.0001,0.4,9361,39.208,0.0,3.94,1.978,12.225,0.386,17407.572,0.315,0.974,1.125,1.125,1.056,3509.855,1.007,-0.012,-15.124
70,750,0.0001,0.8500000000000001,9361,39.628,0.0,3.95,1.981,12.132,0.258,12865.648,0.516,1.0,1.091,1.091,1.054,7221.491,1.022,-0.015,-23.546
71,750,0.0001,0.65,2804,39.242,0.0,3.96,1.984,12.039,0.343,15967.091,0.356,0.986,1.103,1.103,1.056,6163.065,1.01,-0.013,-17.782
72,750,0.0001,0.7000000000000001,6765,39.405,0.0,3.98,1.992,12.027,0.347,16097.134,0.346,0.983,1.092,1.092,1.053,6315.328,1.028,-0.013,-17.617
73,750,0.0001,0.95,4872,39.746,0.0,3.99,1.996,12.26,0.105,6232.636,0.808,1.0,1.089,1.089,1.05,7345.6,2.489,-0.018,-42.733
74,750,0.0001,0.35,2804,39.212,0.0,3.96,1.984,12.051,0.384,17367.216,0.304,0.965,1.126,1.126,1.053,3865.472,1.01,-0.013,-15.42
75,750,0.0001,0.45,2421,39.651,0.0,4.09,2.033,12.214,0.376,17651.661,0.316,0.984,1.105,1.105,1.05,4787.098,1.016,-0.018,-16.187
76,750,0.0001,0.75,2421,39.884,0.0,4.1,2.034,12.132,0.325,15825.827,0.392,0.997,1.087,1.087,1.048,6816.137,1.026,-0.019,-19.312
77,750,0.0001,0.15,9361,39.031,0.0,3.94,1.978,12.295,0.397,17809.823,0.3,0.967,1.164,1.164,1.056,2536.01,1.007,-0.012,-14.488
78,750,0.0001,0.45,9361,39.24,0.0,3.94,1.978,12.167,0.382,17281.427,0.321,0.975,1.117,1.117,1.056,3826.713,1.008,-0.012,-15.326
79,750,0.0001,0.3,2804,39.215,0.0,3.96,1.984,12.086,0.387,17471.874,0.299,0.963,1.126,1.126,1.053,3623.283,1.009,-0.013,-15.248
80,750,0.0001,0.35,2421,39.601,0.0,4.09,2.033,12.225,0.382,17900.46,0.307,0.98,1.115,1.115,1.05,4267.655,1.015,-0.017,-15.789
81,750,0.0001,0.9,9361,39.618,0.0,3.95,1.981,12.109,0.203,10711.129,0.625,1.0,1.088,1.088,1.056,7310.257,1.046,-0.016,-28.444
82,750,0.0001,0.0,6765,39.146,0.0,3.98,1.991,12.121,0.399,17895.828,0.279,0.954,1.124,1.124,1.053,2955.401,1.017,-0.012,-14.669
83,750,0.0001,0.05,2804,38.958,0.0,3.96,1.984,12.202,0.398,17841.364,0.286,0.957,1.183,1.183,1.053,2799.23,1.009,-0.013,-14.663
84,750,0.0001,0.25,9361,39.173,0.0,3.94,1.978,12.237,0.394,17679.795,0.305,0.969,1.134,1.134,1.056,2835.861,1.007,-0.012,-14.692
85,750,0.0001,0.45,6765,39.247,0.0,3.98,1.992,12.074,0.38,17233.541,0.3,0.966,1.111,1.111,1.053,4447.363,1.02,-0.013,-15.723
86,750,0.0001,0.55,9361,39.262,0.0,3.94,1.978,12.167,0.373,16956.769,0.333,0.98,1.115,1.115,1.056,4613.113,1.008,-0.013,-15.854
87,750,0.0001,0.65,6765,39.529,0.0,3.98,1.992,12.109,0.341,15924.957,0.35,0.984,1.095,1.095,1.053,6308.796,1.028,-0.013,-17.96
88,750,0.0001,0.7000000000000001,2421,39.772,0.0,4.09,2.033,12.179,0.34,16389.593,0.37,0.994,1.093,1.093,1.05,6489.617,1.023,-0.019,-18.299
89,750,0.0001,0.15,6765,39.195,0.0,3.98,1.991,12.097,0.395,17752.239,0.283,0.957,1.117,1.117,1.053,3280.598,1.018,-0.012,-14.896
90,750,0.0001,0.2,6765,39.193,0.0,3.98,1.991,12.097,0.393,17692.168,0.285,0.958,1.116,1.116,1.053,3414.277,1.018,-0.012,-14.988
91,750,0.0001,0.65,2421,39.756,0.0,4.09,2.033,12.179,0.351,16772.64,0.353,0.991,1.095,1.095,1.05,6143.098,1.021,-0.018,-17.644
92,750,0.0001,0.2,4872,39.256,0.0,3.97,1.988,12.423,0.392,17779.21,0.299,0.967,1.169,1.169,1.05,3307.737,1.009,-0.013,-14.925
93,750,0.0001,0.1,2421,39.511,0.0,4.09,2.033,12.307,0.394,18289.58,0.293,0.975,1.149,1.149,1.051,3398.766,1.014,-0.017,-15.172
94,750,0.0001,0.8,6765,39.572,0.0,3.98,1.992,12.097,0.289,14073.867,0.431,0.996,1.087,1.087,1.053,7127.29,1.057,-0.014,-21.368
95,750,0.0001,1.0,2421,37.236,0.0,5.27,2.399,11.934,0.014,1680.146,0.968,1.0,0.965,0.965,1.0,7367.343,917.776,-3.756,-90.828
96,750,0.0001,0.95,2804,39.436,0.0,3.96,1.987,12.062,0.116,6768.235,0.775,1.0,1.09,1.09,1.056,7342.894,1.98,-0.019,-40.171
97,750,0.0001,0.6000000000000001,9361,39.292,0.0,3.94,1.978,12.167,0.367,16739.753,0.342,0.982,1.111,1.111,1.056,5078.145,1.009,-0.013,-16.212
98,750,0.0001,1.0,4872,37.83,0.0,5.05,2.335,12.33,0.013,1596.412,0.967,1.0,0.991,0.991,1.0,7367.213,761.225,-3.02,-90.043
99,750,0.0001,0.15,4872,39.195,0.0,3.97,1.988,12.458,0.394,17841.021,0.296,0.966,1.179,1.179,1.05,3169.605,1.009,-0.013,-14.828
100,750,0.0001,0.15,2804,39.117,0.0,3.96,1.984,12.121,0.394,17717.359,0.289,0.959,1.146,1.146,1.053,3068.513,1.009,-0.013,-14.858
101,750,0.0001,0.8500000000000001,4872,39.766,0.0,3.98,1.992,12.179,0.256,12976.847,0.521,0.999,1.091,1.091,1.05,7244.092,1.02,-0.015,-23.783
102,750,0.0001,0.0,9361,38.878,0.0,3.94,1.978,12.376,0.402,17956.936,0.294,0.965,1.205,1.205,1.056,2218.429,1.008,-0.012,-14.257
103,750,0.0001,0.9,6765,39.494,0.0,3.99,1.995,12.19,0.166,9177.396,0.652,1.0,1.091,1.091,1.053,7309.176,2.582,-0.015,-33.007
104,750,0.0001,0.4,2804,39.262,0.0,3.96,1.984,12.062,0.38,17242.628,0.308,0.967,1.122,1.122,1.053,4141.68,1.01,-0.013,-15.621
105,750,0.0001,0.25,4872,39.334,0.0,3.97,1.988,12.353,0.391,17708.495,0.301,0.967,1.152,1.152,1.05,3465.277,1.009,-0.013,-15.035
